term,normalized_form,type,sentiment_label,trigger_type,action_strength,fandom_scope,target_entity,polarity,intensity,risk_flag,example_text,usage_mode,notes,created_at,updated_at
불매,불매,boycott_action,Boycott,action,collective,fandom,agency,negative,high,alert,이번 활동은 불매할게,literal,명시적 소비 중단,2026-01-18,2026-01-18
이제 안 본다,이제 안 본다,boycott_action,Boycott,action,declaration,fandom,artist,negative,high,alert,이제 안 본다 진짜,literal,시청/소비 중단 선언,2026-01-18,2026-01-18
탈빠,탈덕,boycott_action,Boycott,action,declaration,fandom,artist,negative,high,alert,이번 일로 탈빠함,ambiguous,팬 활동 중단 상태 선언,2026-01-18,2026-01-18
덕통사고,덕통사고,context_marker,Context,emotion,none,global,self,positive,mid,none,덕통사고 당함,literal,유입 맥락,2026-01-18,2026-01-18
입덕,입덕,context_marker,Context,action,declaration,global,self,positive,mid,none,이번 무대로 입덕함,literal,유입 단계,2026-01-18,2026-01-18
타팬인데,타팬,context_marker,Context,context,none,global,unknown,neutral,low,none,타팬인데 무대는 잘 봤어요,literal,발화자 위치,2026-01-18,2026-01-18
현생,현생,context_marker,Context,context,none,fandom,self,neutral,low,none,현생 때문에 요즘 잘 못 봄,literal,활동 맥락,2026-01-18,2026-01-18
먹금,먹이금지,context_marker,Context,action,none,fandom,fandom,neutral,mid,watch,이 건은 먹금하자,literal,이슈 확산 차단 의도,2026-01-18,2026-01-18
돌석,은석,fandom_slang,Nickname,context,none,fandom,artist,positive,low,none,돌석 오늘 컨셉 찰떡,literal,애칭,2026-01-18,2026-01-18
돌프,최애가 은석,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,돌프 오늘도 운다,literal,최애 표기,2026-01-18,2026-01-18
땡프,최애가 재희,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,땡프 아닌데도 저장함,literal,최애 표기,2026-01-18,2026-01-18
또리,소희,fandom_slang,Nickname,context,none,fandom,artist,positive,low,none,또리 웃는 거 봤어?,literal,애칭,2026-01-18,2026-01-18
또프,최애가 소희,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,또프 오늘 무대 레전드,literal,최애 표기,2026-01-18,2026-01-18
료프,최애가 료,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,내가 료프가 되게 해준 영상,literal,최애 표기,2026-01-18,2026-01-18
삔프,최애가 원빈,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,삔프는 그냥 행복함,literal,최애 표기,2026-01-18,2026-01-18
샄료,사쿠야+료,fandom_slang,Pairing,emotion,none,fandom,artist,positive,mid,none,샄료 케미 미쳤다,literal,멤버 조합,2026-01-18,2026-01-18
샄프,최애가 사쿠야,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,누가봐도 샄프,literal,최애 표기,2026-01-18,2026-01-18
쇼따로,쇼타로,fandom_slang,Nickname,context,none,fandom,artist,positive,low,none,쇼따로 오늘 춤선 미쳤다,literal,애칭,2026-01-18,2026-01-18
쇼프,최애가 쇼타로,fandom_slang,Bias,emotion,none,fandom,artist,positive,mid,none,쇼프는 오늘도 만족,literal,최애 표기,2026-01-18,2026-01-18
